epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,677.331,0.91758,2.20378,1.94144,1.26729,0.6843,0.62846,0.5919,0.4445,0.68273,0.60939,0.57128,0.42747,0.8639,1.8459,1.73573,1.18086,0.00333069,0.00333069,0.00333069
2,1340.58,0.87043,1.84885,1.27836,1.20892,0.67554,0.64875,0.62584,0.46785,0.67472,0.63595,0.61637,0.45117,0.97921,1.94191,1.55795,1.29765,0.00659805,0.00659805,0.00659805
3,1996.56,0.94994,1.96248,1.19514,1.25993,0.61951,0.58895,0.50676,0.36695,0.61007,0.57835,0.48947,0.34442,1.14905,2.22843,1.72738,1.47647,0.0097994,0.0097994,0.0097994
4,2651.84,0.95236,1.95887,1.11472,1.26341,0.66982,0.66188,0.62349,0.48044,0.68429,0.63134,0.59752,0.45557,0.93093,1.93156,1.41731,1.26654,0.009703,0.009703,0.009703
5,37252.8,0.90381,1.85218,1.01413,1.22559,0.67577,0.66738,0.69083,0.56356,0.67305,0.65935,0.67641,0.5395,0.80353,1.56256,1.24965,1.12776,0.009604,0.009604,0.009604
6,37907.7,0.8564,1.75687,0.94333,1.19217,0.71704,0.69252,0.70041,0.57269,0.7119,0.6919,0.69506,0.5555,0.76821,1.51577,1.2807,1.1004,0.009505,0.009505,0.009505
7,38563.7,0.82855,1.68405,0.89127,1.17033,0.69919,0.71385,0.70605,0.58978,0.70167,0.7131,0.69593,0.54471,0.75278,1.56803,1.12151,1.09111,0.009406,0.009406,0.009406
8,39220.5,0.81018,1.66568,0.86364,1.15856,0.70513,0.72521,0.73228,0.59987,0.70127,0.72597,0.72241,0.58436,0.71688,1.43093,1.06031,1.05432,0.009307,0.009307,0.009307
9,39875.9,0.78237,1.58535,0.82926,1.14111,0.6916,0.73581,0.73736,0.59992,0.69504,0.73656,0.73226,0.58992,0.71762,1.35859,1.10211,1.03487,0.009208,0.009208,0.009208
10,40528.3,0.76824,1.55843,0.80631,1.13171,0.69126,0.73656,0.74189,0.61267,0.68848,0.73202,0.73053,0.587,0.71762,1.34599,1.0507,1.04526,0.009109,0.009109,0.009109
11,41183.6,0.75019,1.50889,0.77589,1.11734,0.68976,0.75852,0.75687,0.64048,0.67276,0.7676,0.75016,0.61788,0.63724,1.32238,0.98348,0.97532,0.00901,0.00901,0.00901
12,41838.6,0.74125,1.49573,0.7633,1.11017,0.70711,0.75479,0.75297,0.63208,0.71483,0.74868,0.74859,0.61462,0.63509,1.30056,0.99617,0.96762,0.008911,0.008911,0.008911
13,42491.3,0.7244,1.46213,0.74346,1.10205,0.6849,0.78501,0.76436,0.65129,0.68688,0.78728,0.75888,0.62714,0.66681,1.23045,0.97565,1.00029,0.008812,0.008812,0.008812
14,43144.6,0.72021,1.4272,0.72911,1.09667,0.70446,0.78311,0.76272,0.64624,0.70105,0.77932,0.75597,0.62374,0.64339,1.26501,0.96968,0.98375,0.008713,0.008713,0.008713
15,43946.3,0.70587,1.4216,0.71212,1.08745,0.71073,0.76443,0.75861,0.65227,0.71015,0.76609,0.75337,0.62582,0.61263,1.22603,0.95875,0.94803,0.008614,0.008614,0.008614
16,44599.2,0.70265,1.39037,0.70817,1.08716,0.71381,0.7782,0.77046,0.65983,0.7125,0.77668,0.76587,0.63472,0.60808,1.2351,0.95954,0.9433,0.008515,0.008515,0.008515
17,45252.7,0.69277,1.38129,0.69655,1.07957,0.70891,0.80015,0.78057,0.66831,0.70793,0.79334,0.76844,0.6449,0.5991,1.22734,0.90952,0.94368,0.008416,0.008416,0.008416
18,45906.8,0.6933,1.37477,0.68972,1.07767,0.70702,0.79284,0.78167,0.67139,0.70432,0.78981,0.77291,0.6473,0.59106,1.16853,0.89719,0.93434,0.008317,0.008317,0.008317
